order_id,customer_id,item_id,style_name,size,color,purchase_date,relationship_tier,base_window_days,adjusted_window_days,window_closes_date,days_remaining,status,adjustment_reason
ORD-000047,CUST-00231,SKU-010,Flare,33,Indigo,2026-02-07,VIP,30,60,2026-04-08,-89,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000048,CUST-00231,SKU-010,Flare,27,Indigo,2025-07-11,VIP,30,60,2025-09-09,-300,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000049,CUST-00231,SKU-008,Boyfriend,34,Indigo,2026-03-10,VIP,30,60,2026-05-09,-58,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000050,CUST-00231,SKU-007,Mom Jean,32,Indigo,2025-10-18,VIP,30,60,2025-12-17,-201,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000051,CUST-00231,SKU-009,Cropped Straight,27,Raw Denim,2025-09-23,VIP,30,60,2025-11-22,-226,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000052,CUST-00232,SKU-010,Flare,29,Indigo,2025-05-02,regular,30,30,2025-06-01,-400,closed,Standard 30-day return window.
ORD-000053,CUST-00232,SKU-008,Boyfriend,29,Stone Wash,2026-02-03,regular,30,30,2026-03-05,-123,closed,Standard 30-day return window.
ORD-000054,CUST-00232,SKU-008,Boyfriend,34,Vintage Blue,2025-10-04,regular,30,30,2025-11-03,-245,closed,Standard 30-day return window.
ORD-000055,CUST-00232,SKU-009,Cropped Straight,27,White,2025-01-22,regular,30,30,2025-02-21,-500,closed,Standard 30-day return window.
ORD-000056,CUST-00232,SKU-012,Chore Jacket,S,Stone Wash,2025-07-14,regular,30,30,2025-08-13,-327,closed,Standard 30-day return window.
ORD-000057,CUST-00232,SKU-008,Boyfriend,28,Black,2025-08-05,regular,30,30,2025-09-04,-305,closed,Standard 30-day return window.
ORD-000058,CUST-00003,SKU-005,Slim Straight,25,Indigo,2026-05-22,regular,30,30,2026-06-21,-15,closed,Standard 30-day return window.
ORD-000059,CUST-00003,SKU-001,Skinny,32,Indigo,2026-06-24,regular,30,30,2026-07-24,18,open,Standard 30-day return window.
ORD-000060,CUST-00233,SKU-009,Cropped Straight,30,Black,2026-07-04,regular,30,30,2026-08-03,28,open,Standard 30-day return window.
ORD-000061,CUST-00233,SKU-006,High-Rise Skinny,31,Indigo,2025-11-29,regular,30,30,2025-12-29,-189,closed,Standard 30-day return window.
ORD-000062,CUST-00003,SKU-007,Mom Jean,30,Raw Denim,2026-04-08,regular,30,30,2026-05-08,-59,closed,Standard 30-day return window.
ORD-000063,CUST-00003,SKU-009,Cropped Straight,27,White,2026-04-30,regular,30,30,2026-05-30,-37,closed,Standard 30-day return window.
ORD-000064,CUST-00004,SKU-014,Denim Shirt,M,Stone Wash,2025-07-12,regular,30,30,2025-08-11,-329,closed,Standard 30-day return window.
ORD-000065,CUST-00004,SKU-005,Slim Straight,33,Vintage Blue,2025-06-11,regular,30,30,2025-07-11,-360,closed,Standard 30-day return window.
ORD-000066,CUST-00004,SKU-014,Denim Shirt,L,Black,2025-08-07,regular,30,30,2025-09-06,-303,closed,Standard 30-day return window.
ORD-000067,CUST-00005,SKU-016,Denim Skirt,XS,Black,2024-09-12,VIP,30,60,2024-11-11,-602,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000068,CUST-00005,SKU-011,Denim Jacket,L,Stone Wash,2026-01-17,VIP,30,60,2026-03-18,-110,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000069,CUST-00005,SKU-013,Trucker Jacket,XS,Black,2024-05-30,VIP,30,60,2024-07-29,-707,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000070,CUST-00005,SKU-004,Wide Leg,31,Vintage Blue,2025-08-12,VIP,30,60,2025-10-11,-268,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000071,CUST-00005,SKU-009,Cropped Straight,29,Indigo,2025-11-06,VIP,30,60,2026-01-05,-182,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000072,CUST-00005,SKU-007,Mom Jean,33,Raw Denim,2026-03-08,VIP,30,60,2026-05-07,-60,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000073,CUST-00005,SKU-010,Flare,29,White,2026-06-20,VIP,30,60,2026-08-19,44,open,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000074,CUST-00005,SKU-015,Denim Overalls,XS,Raw Denim,2026-05-06,VIP,30,60,2026-07-05,-1,discretionary,"VIP customer — standard 30-day window extended by 30 days to 60 days. Past the window, but VIP status allows manager discretion for up to 14 more days."
ORD-000075,CUST-00005,SKU-006,High-Rise Skinny,34,White,2024-09-07,VIP,30,60,2024-11-06,-607,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000076,CUST-00005,SKU-003,Bootcut,25,Black,2025-05-31,VIP,30,60,2025-07-30,-341,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000077,CUST-00234,SKU-012,Chore Jacket,XL,Raw Denim,2026-03-15,regular,30,30,2026-04-14,-83,closed,Standard 30-day return window.
ORD-000078,CUST-00234,SKU-013,Trucker Jacket,XS,Indigo,2025-09-09,regular,30,30,2025-10-09,-270,closed,Standard 30-day return window.
ORD-000079,CUST-00235,SKU-003,Bootcut,25,White,2026-01-23,new,30,30,2026-02-22,-134,closed,Standard 30-day return window.
ORD-000080,CUST-00006,SKU-015,Denim Overalls,S,Black,2025-09-05,regular,30,30,2025-10-05,-274,closed,Standard 30-day return window.
ORD-000081,CUST-00006,SKU-011,Denim Jacket,L,Raw Denim,2025-11-19,regular,30,30,2025-12-19,-199,closed,Standard 30-day return window.
ORD-000082,CUST-00006,SKU-015,Denim Overalls,S,Black,2025-08-24,regular,30,30,2025-09-23,-286,closed,Standard 30-day return window.
ORD-000083,CUST-00006,SKU-014,Denim Shirt,XL,Stone Wash,2026-06-19,regular,30,30,2026-07-19,13,open,Standard 30-day return window.
ORD-000084,CUST-00236,SKU-009,Cropped Straight,26,White,2026-01-25,regular,30,30,2026-02-24,-132,closed,Standard 30-day return window.
ORD-000085,CUST-00236,SKU-016,Denim Skirt,L,Stone Wash,2026-03-08,regular,30,30,2026-04-07,-90,closed,Standard 30-day return window.
ORD-000086,CUST-00236,SKU-012,Chore Jacket,S,Raw Denim,2026-05-30,regular,30,30,2026-06-29,-7,closed,Standard 30-day return window.
ORD-000087,CUST-00236,SKU-013,Trucker Jacket,S,Stone Wash,2026-05-15,regular,30,30,2026-06-14,-22,closed,Standard 30-day return window.
ORD-000088,CUST-00236,SKU-009,Cropped Straight,30,Black,2026-05-17,regular,30,30,2026-06-16,-20,closed,Standard 30-day return window.
ORD-000089,CUST-00236,SKU-016,Denim Skirt,S,Stone Wash,2026-01-16,regular,30,30,2026-02-15,-141,closed,Standard 30-day return window.
ORD-000090,CUST-00236,SKU-015,Denim Overalls,XS,Black,2026-01-15,regular,30,30,2026-02-14,-142,closed,Standard 30-day return window.
ORD-000091,CUST-00236,SKU-012,Chore Jacket,L,Indigo,2026-05-31,regular,30,30,2026-06-30,-6,closed,Standard 30-day return window.
ORD-000092,CUST-00007,SKU-016,Denim Skirt,S,Black,2025-03-20,regular,30,30,2025-04-19,-443,closed,Standard 30-day return window.
ORD-000093,CUST-00007,SKU-015,Denim Overalls,S,Indigo,2025-07-31,regular,30,30,2025-08-30,-310,closed,Standard 30-day return window.
ORD-000094,CUST-00007,SKU-006,High-Rise Skinny,34,Vintage Blue,2025-10-04,regular,30,30,2025-11-03,-245,closed,Standard 30-day return window.
ORD-000095,CUST-00007,SKU-002,Straight,34,Black,2025-09-20,regular,30,30,2025-10-20,-259,closed,Standard 30-day return window.
ORD-000096,CUST-00007,SKU-013,Trucker Jacket,S,Indigo,2025-08-28,regular,30,30,2025-09-27,-282,closed,Standard 30-day return window.
ORD-000097,CUST-00007,SKU-005,Slim Straight,29,Indigo,2026-01-30,regular,30,30,2026-03-01,-127,closed,Standard 30-day return window.
ORD-000098,CUST-00007,SKU-002,Straight,24,White,2025-08-04,regular,30,30,2025-09-03,-306,closed,Standard 30-day return window.
ORD-000099,CUST-00237,SKU-012,Chore Jacket,L,Black,2026-02-23,regular,30,30,2026-03-25,-103,closed,Standard 30-day return window.
ORD-000100,CUST-00237,SKU-015,Denim Overalls,XL,Stone Wash,2026-01-05,regular,30,30,2026-02-04,-152,closed,Standard 30-day return window.
ORD-000101,CUST-00237,SKU-009,Cropped Straight,33,Raw Denim,2026-03-18,regular,30,30,2026-04-17,-80,closed,Standard 30-day return window.
ORD-000102,CUST-00237,SKU-015,Denim Overalls,XS,Raw Denim,2026-03-03,regular,30,30,2026-04-02,-95,closed,Standard 30-day return window.
ORD-000103,CUST-00237,SKU-013,Trucker Jacket,S,Raw Denim,2026-03-18,regular,30,30,2026-04-17,-80,closed,Standard 30-day return window.
ORD-000104,CUST-00237,SKU-003,Bootcut,24,Black,2026-01-23,regular,30,30,2026-02-22,-134,closed,Standard 30-day return window.
ORD-000105,CUST-00238,SKU-009,Cropped Straight,24,White,2025-10-01,watch,30,30,2025-10-31,-248,closed,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000106,CUST-00238,SKU-003,Bootcut,31,Vintage Blue,2026-02-11,watch,30,30,2026-03-13,-115,closed,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000107,CUST-00238,SKU-002,Straight,25,White,2026-01-02,watch,30,30,2026-02-01,-155,closed,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000108,CUST-00238,SKU-007,Mom Jean,27,Raw Denim,2024-12-03,watch,30,30,2025-01-02,-550,closed,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000109,CUST-00238,SKU-004,Wide Leg,34,Raw Denim,2025-11-03,watch,30,30,2025-12-03,-215,closed,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000110,CUST-00238,SKU-013,Trucker Jacket,XL,Stone Wash,2026-07-01,watch,30,30,2026-07-31,25,open,"Watch-listed customer — standard 30-day return window applied strictly, no extensions."
ORD-000111,CUST-00239,SKU-011,Denim Jacket,M,Raw Denim,2025-12-21,regular,30,30,2026-01-20,-167,closed,Standard 30-day return window.
ORD-000112,CUST-00239,SKU-013,Trucker Jacket,XL,Stone Wash,2025-12-28,regular,30,30,2026-01-27,-160,closed,Standard 30-day return window.
ORD-000113,CUST-00239,SKU-001,Skinny,32,Black,2025-04-01,regular,30,30,2025-05-01,-431,closed,Standard 30-day return window.
ORD-000114,CUST-00239,SKU-009,Cropped Straight,32,Raw Denim,2026-05-27,regular,30,30,2026-06-26,-10,closed,Standard 30-day return window.
ORD-000115,CUST-00239,SKU-005,Slim Straight,28,White,2025-11-05,regular,30,30,2025-12-05,-213,closed,Standard 30-day return window.
ORD-000116,CUST-00239,SKU-007,Mom Jean,25,Vintage Blue,2026-01-01,regular,30,30,2026-01-31,-156,closed,Standard 30-day return window.
ORD-000117,CUST-00239,SKU-002,Straight,33,Stone Wash,2026-01-13,regular,30,30,2026-02-12,-144,closed,Standard 30-day return window.
ORD-000118,CUST-00008,SKU-004,Wide Leg,27,Vintage Blue,2025-03-26,regular,30,30,2025-04-25,-437,closed,Standard 30-day return window.
ORD-000119,CUST-00008,SKU-013,Trucker Jacket,XS,Stone Wash,2024-02-05,regular,30,30,2024-03-06,-852,closed,Standard 30-day return window.
ORD-000120,CUST-00009,SKU-008,Boyfriend,26,Indigo,2025-10-04,VIP,30,60,2025-12-03,-215,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000121,CUST-00009,SKU-003,Bootcut,27,Stone Wash,2026-05-10,VIP,30,60,2026-07-09,3,closing_soon,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000122,CUST-00009,SKU-009,Cropped Straight,25,Stone Wash,2025-03-03,VIP,30,60,2025-05-02,-430,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000123,CUST-00009,SKU-007,Mom Jean,32,Raw Denim,2025-08-02,VIP,30,60,2025-10-01,-278,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000124,CUST-00009,SKU-014,Denim Shirt,L,Stone Wash,2025-04-13,VIP,30,60,2025-06-12,-389,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000125,CUST-00009,SKU-010,Flare,26,White,2025-05-02,VIP,30,60,2025-07-01,-370,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000126,CUST-00009,SKU-012,Chore Jacket,S,Indigo,2025-09-08,VIP,30,60,2025-11-07,-241,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000127,CUST-00009,SKU-010,Flare,24,White,2026-06-20,VIP,30,60,2026-08-19,44,open,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000128,CUST-00009,SKU-009,Cropped Straight,32,Stone Wash,2025-08-08,VIP,30,60,2025-10-07,-272,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000129,CUST-00009,SKU-001,Skinny,30,Raw Denim,2026-03-28,VIP,30,60,2026-05-27,-40,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000130,CUST-00009,SKU-001,Skinny,25,Stone Wash,2025-10-16,VIP,30,60,2025-12-15,-203,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000131,CUST-00009,SKU-004,Wide Leg,24,White,2025-10-21,VIP,30,60,2025-12-20,-198,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000132,CUST-00010,SKU-011,Denim Jacket,L,Indigo,2025-10-10,regular,30,30,2025-11-09,-239,closed,Standard 30-day return window.
ORD-000133,CUST-00010,SKU-016,Denim Skirt,L,Black,2026-02-13,regular,30,30,2026-03-15,-113,closed,Standard 30-day return window.
ORD-000134,CUST-00010,SKU-002,Straight,34,White,2026-01-29,regular,30,30,2026-02-28,-128,closed,Standard 30-day return window.
ORD-000135,CUST-00010,SKU-009,Cropped Straight,27,Black,2025-09-05,regular,30,30,2025-10-05,-274,closed,Standard 30-day return window.
ORD-000136,CUST-00010,SKU-008,Boyfriend,30,Black,2026-04-30,regular,30,30,2026-05-30,-37,closed,Standard 30-day return window.
ORD-000137,CUST-00010,SKU-005,Slim Straight,33,Raw Denim,2025-07-24,regular,30,30,2025-08-23,-317,closed,Standard 30-day return window.
ORD-000138,CUST-00011,SKU-006,High-Rise Skinny,29,Indigo,2026-06-16,VIP,30,60,2026-08-15,40,open,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000139,CUST-00011,SKU-011,Denim Jacket,L,Raw Denim,2026-05-03,VIP,30,60,2026-07-02,-4,discretionary,"VIP customer — standard 30-day window extended by 30 days to 60 days. Past the window, but VIP status allows manager discretion for up to 14 more days."
ORD-000140,CUST-00011,SKU-009,Cropped Straight,26,Black,2026-04-25,VIP,30,60,2026-06-24,-12,discretionary,"VIP customer — standard 30-day window extended by 30 days to 60 days. Past the window, but VIP status allows manager discretion for up to 14 more days."
ORD-000141,CUST-00011,SKU-008,Boyfriend,33,Black,2025-04-11,VIP,30,60,2025-06-10,-391,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000142,CUST-00011,SKU-016,Denim Skirt,M,Black,2024-11-26,VIP,30,60,2025-01-25,-527,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000143,CUST-00011,SKU-001,Skinny,28,Stone Wash,2025-06-11,VIP,30,60,2025-08-10,-330,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000144,CUST-00011,SKU-016,Denim Skirt,M,Raw Denim,2025-07-12,VIP,30,60,2025-09-10,-299,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000145,CUST-00011,SKU-013,Trucker Jacket,M,Raw Denim,2026-03-26,VIP,30,60,2026-05-25,-42,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000146,CUST-00011,SKU-002,Straight,32,Indigo,2025-12-31,VIP,30,60,2026-03-01,-127,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000147,CUST-00011,SKU-002,Straight,32,Stone Wash,2025-05-29,VIP,30,60,2025-07-28,-343,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000148,CUST-00240,SKU-010,Flare,33,Indigo,2026-04-02,VIP,30,60,2026-06-01,-35,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000149,CUST-00240,SKU-004,Wide Leg,26,Raw Denim,2025-03-18,VIP,30,60,2025-05-17,-415,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000150,CUST-00240,SKU-006,High-Rise Skinny,31,Raw Denim,2025-11-12,VIP,30,60,2026-01-11,-176,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000151,CUST-00240,SKU-006,High-Rise Skinny,25,Indigo,2025-11-12,VIP,30,60,2026-01-11,-176,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000152,CUST-00240,SKU-006,High-Rise Skinny,30,Raw Denim,2026-01-13,VIP,30,60,2026-03-14,-114,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000153,CUST-00240,SKU-005,Slim Straight,26,Vintage Blue,2025-05-18,VIP,30,60,2025-07-17,-354,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000154,CUST-00240,SKU-005,Slim Straight,27,Indigo,2025-06-19,VIP,30,60,2025-08-18,-322,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000155,CUST-00240,SKU-001,Skinny,33,Stone Wash,2026-05-10,VIP,30,60,2026-07-09,3,closing_soon,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000156,CUST-00240,SKU-001,Skinny,27,Raw Denim,2026-03-13,VIP,30,60,2026-05-12,-55,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
ORD-000157,CUST-00012,SKU-002,Straight,26,Black,2025-01-10,regular,30,30,2025-02-09,-512,closed,Standard 30-day return window.
ORD-000158,CUST-00012,SKU-002,Straight,34,Raw Denim,2024-11-07,regular,30,30,2024-12-07,-576,closed,Standard 30-day return window.
ORD-000159,CUST-00012,SKU-002,Straight,25,Stone Wash,2024-09-09,regular,30,30,2024-10-09,-635,closed,Standard 30-day return window.
ORD-000160,CUST-00012,SKU-006,High-Rise Skinny,31,Vintage Blue,2026-04-19,regular,30,30,2026-05-19,-48,closed,Standard 30-day return window.
ORD-000161,CUST-00012,SKU-010,Flare,29,White,2024-09-15,regular,30,30,2024-10-15,-629,closed,Standard 30-day return window.
ORD-000162,CUST-00012,SKU-003,Bootcut,28,Stone Wash,2025-08-23,regular,30,30,2025-09-22,-287,closed,Standard 30-day return window.
ORD-000163,CUST-00012,SKU-011,Denim Jacket,XL,Raw Denim,2025-03-20,regular,30,30,2025-04-19,-443,closed,Standard 30-day return window.
ORD-000164,CUST-00241,SKU-010,Flare,30,Raw Denim,2026-05-27,regular,30,30,2026-06-26,-10,closed,Standard 30-day return window.
ORD-000165,CUST-00241,SKU-016,Denim Skirt,L,Black,2026-04-26,regular,30,30,2026-05-26,-41,closed,Standard 30-day return window.
ORD-000166,CUST-00241,SKU-004,Wide Leg,27,Raw Denim,2025-03-11,regular,30,30,2025-04-10,-452,closed,Standard 30-day return window.
ORD-000167,CUST-00241,SKU-007,Mom Jean,28,White,2025-06-15,regular,30,30,2025-07-15,-356,closed,Standard 30-day return window.
ORD-000168,CUST-00241,SKU-001,Skinny,26,Black,2025-10-17,regular,30,30,2025-11-16,-232,closed,Standard 30-day return window.
ORD-000169,CUST-00242,SKU-005,Slim Straight,34,Stone Wash,2026-06-27,new,30,30,2026-07-27,21,open,Standard 30-day return window.
ORD-000170,CUST-00242,SKU-002,Straight,32,White,2026-06-12,new,30,30,2026-07-12,6,open,Standard 30-day return window.
ORD-000171,CUST-00242,SKU-012,Chore Jacket,XS,Black,2026-05-10,new,30,30,2026-06-09,-27,closed,Standard 30-day return window.
ORD-000172,CUST-00242,SKU-004,Wide Leg,28,Vintage Blue,2026-05-25,new,30,30,2026-06-24,-12,closed,Standard 30-day return window.
ORD-000173,CUST-00242,SKU-012,Chore Jacket,L,Stone Wash,2026-06-17,new,30,30,2026-07-17,11,open,Standard 30-day return window.
ORD-000174,CUST-00243,SKU-016,Denim Skirt,XL,Black,2026-01-07,VIP,30,60,2026-03-08,-120,closed,VIP customer — standard 30-day window extended by 30 days to 60 days.
